Year,Rank,Country name,Ladder score,upperwhisker,lowerwhisker,Explained by: Log GDP per capita,Explained by: Social support,Explained by: Healthy life expectancy,Explained by: Freedom to make life choices,Explained by: Generosity,Explained by: Perceptions of corruption,Dystopia + residual,"School enrollment, tertiary (% gross)","School enrollment, secondary (% gross)"
2020,46,Kazakhstan,6.152,6.243,6.06,1.23,1.103,0.527,0.573,0.143,0.132,2.446,64.8498611450195,94.3694359734055
2019,50,Kazakhstan,6.05789995193481,6.14263010025024,5.97316980361938,1.12259423732758,1.45326769351959,0.698788940906525,0.497432142496109,0.153713792562485,0.110463686287403,2.02160263061523,59.5819778442383,101.3594374785
2023,114,Kenya,4.47,4.595,4.344,1.037,0.895,0.353,0.519,0.282,0.069,1.316,..,..
2022,111,Kenya,4.487,4.616,4.357,1.051,0.881,0.19,0.418,0.291,0.055,1.601,..,..
2021,119,Kenya,4.543,4.683,4.403,1.032,0.605,0.401,0.44,0.322,0.082,1.661,..,..
2020,122,Kenya,4.607,4.747,4.466,0.603,0.508,0.385,0.483,0.375,0.073,2.18,..,..
2019,121,Kenya,4.58300018310547,4.71589803695679,4.45010232925415,0.476413398981094,0.905077755451202,0.536312758922577,0.519180536270142,0.393902093172073,0.0672010779380798,1.6849045753479,10.5694704055786,..
2023,29,Kosovo,6.561,6.667,6.455,1.364,1.277,0.599,0.739,0.254,0.073,2.255,..,..
2022,34,Kosovo,6.368,6.485,6.25,1.374,1.269,0.372,0.639,0.275,0.045,2.393,..,..
2021,32,Kosovo,6.455,6.571,6.339,1.362,0.949,0.569,0.599,0.309,0.035,2.631,..,..
2020,34,Kosovo,6.372,6.487,6.257,0.937,0.807,0.483,0.593,0.356,0.014,3.182,..,..
2019,35,Kosovo,6.32520008087158,6.42754411697388,6.22285604476929,0.840481340885162,1.18396282196045,0.672709167003632,0.557280421257019,0.325286865234375,0.00855902396142483,2.73690271377563,..,..
2023,13,Kuwait,6.951,7.06,6.843,1.845,1.364,0.661,0.827,0.2,0.172,1.884,..,..
2021,50,Kuwait,6.106,6.235,5.977,1.904,0.983,0.747,0.617,0.087,0.147,1.621,61.558048248291,..
2020,48,Kuwait,6.106,6.235,5.977,1.461,0.857,0.58,0.591,0.12,0.13,2.368,53.7298583984375,..
2019,48,Kuwait,6.10209989547729,6.2065634727478,5.99763631820679,1.42483365535736,1.24477982521057,0.776468932628632,0.570261418819427,0.13275109231472,0.1128149330616,1.84016799926758,50.4700584411621,..
2023,94,Lao PDR,5.139,5.261,5.017,1.208,0.846,0.423,0.796,0.17,0.167,1.529,14.901439666748,54.502009299061
2022,89,Lao PDR,5.111,5.269,4.952,1.232,0.853,0.257,0.715,0.185,0.162,1.707,13.6964569091797,56.8832442136407
2021,95,Lao PDR,5.14,5.263,5.018,1.239,0.654,0.479,0.679,0.197,0.184,1.709,12.4585027694702,59.8290705858321
2020,101,Lao PDR,5.03,5.119,4.941,0.808,0.598,0.33,0.643,0.268,0.179,2.204,12.5843343734741,62.4285213803305
2019,104,Lao PDR,4.88859987258911,4.96752643585205,4.80967330932617,0.71469384431839,0.987391889095306,0.486378282308578,0.612027287483215,0.272667109966278,0.194273963570595,1.62115263938904,13.7658739089966,64.9903165535712
2023,46,Latvia,6.234,6.314,6.155,1.7,1.508,0.564,0.666,0.127,0.078,1.59,..,..
2022,41,Latvia,6.213,6.295,6.131,1.737,1.505,0.405,0.58,0.107,0.071,1.808,91.3303680419922,104.764526367188
2021,42,Latvia,6.18,6.255,6.106,1.732,1.221,0.637,0.502,0.075,0.09,1.923,93.4839324951172,105.814010620117
2020,52,Latvia,6.032,6.103,5.961,1.285,1.047,0.587,0.405,0.082,0.089,2.536,94.5108337402344,105.956283569336
2019,57,Latvia,5.94999980926514,6.01828241348267,5.88171720504761,1.14139544963837,1.41439878940582,0.77790242433548,0.329198807477951,0.0754079446196556,0.0903915241360664,2.12128305435181,94.8645324707031,107.602462768555
2023,142,Lebanon,2.707,2.797,2.616,1.377,0.577,0.556,0.173,0.068,0.029,-0.073,60.1667213439941,64.7028884887695
2022,136,Lebanon,2.392,2.479,2.305,1.417,0.476,0.398,0.123,0.061,0.027,-0.11,61.5956115722656,..
2021,145,Lebanon,2.955,3.049,2.862,1.392,0.498,0.631,0.103,0.082,0.034,0.216,58.4441413879395,..
2020,124,Lebanon,4.584,4.691,4.477,1.045,0.868,0.595,0.175,0.14,0.026,1.736,51.6985816955566,..
2019,111,Lebanon,4.77150011062622,4.85725784301758,4.68574237823486,0.889232516288757,1.19249331951141,0.788671135902405,0.18551667034626,0.158524140715599,0.0215181466192007,1.53554224967957,50.3490180969238,..
2023,141,Lesotho,3.186,3.469,2.904,0.771,0.851,0.0,0.523,0.082,0.085,0.875,..,..
2021,141,Lesotho,3.512,3.748,3.276,0.839,0.848,0.0,0.419,0.076,0.018,1.312,..,..
2020,146,Lesotho,3.512,3.748,3.276,0.451,0.731,0.007,0.405,0.103,0.015,1.8,..,..
2019,143,Lesotho,3.6528000831604,3.8137571811676,3.4918429851532,0.454938739538193,1.08894002437592,0.100934810936451,0.40936753153801,0.102627642452717,0.0504838228225708,1.44551396369934,..,..
2023,121,Liberia,4.269,4.474,4.063,0.619,0.673,0.301,0.546,0.178,0.075,1.878,..,..
2022,125,Liberia,4.042,4.325,3.76,0.628,0.644,0.141,0.471,0.219,0.071,1.869,..,..
2021,97,Liberia,5.122,5.428,4.815,0.636,0.67,0.309,0.405,0.178,0.08,2.844,..,..
2020,121,Liberia,4.625,4.833,4.417,0.228,0.58,0.253,0.43,0.221,0.057,2.857,..,37.8051300048828
2019,124,Liberia,4.55789995193481,4.71853446960449,4.39726543426514,0.174103006720543,0.92073392868042,0.392284274101257,0.405943095684052,0.226967871189117,0.0511398762464523,2.38675785064697,..,..
2023,66,Libya,5.866,5.987,5.746,1.526,1.1,0.55,0.592,0.111,0.204,1.785,..,..
2021,86,Libya,5.33,5.543,5.118,1.476,0.943,0.606,0.477,0.106,0.179,1.544,..,..
2020,81,Libya,5.41,5.558,5.262,1.044,0.821,0.435,0.474,0.131,0.174,2.331,..,..
2019,80,Libya,5.48880004882813,5.60772752761841,5.36987257003784,1.02191376686096,1.19628369808197,0.615626633167267,0.451354056596756,0.142757698893547,0.172258079051971,1.88856315612793,..,..
2023,19,Lithuania,6.818,6.896,6.739,1.766,1.454,0.598,0.533,0.044,0.116,2.307,..,..
2022,20,Lithuania,6.763,6.849,6.677,1.808,1.511,0.432,0.487,0.059,0.089,2.377,76.9154586791992,106.918357849121
2021,34,Lithuania,6.446,6.535,6.356,1.804,1.204,0.659,0.496,0.053,0.077,2.153,70.6638793945312,108.505813598633
2020,39,Lithuania,6.255,6.344,6.167,1.35,1.065,0.612,0.476,0.056,0.073,2.624,69.1454772949219,105.987487792969
2019,41,Lithuania,6.21549987792969,6.3021183013916,6.12888145446777,1.19355964660645,1.43286573886871,0.795421183109283,0.420460790395737,0.0536910407245159,0.0813502743840218,2.23814606666565,70.1848678588867,103.88060760498
2023,8,Luxembourg,7.122,7.213,7.031,2.141,1.355,0.708,0.801,0.146,0.432,1.54,..,..
2022,9,Luxembourg,7.228,7.363,7.093,2.2,1.357,0.549,0.71,0.149,0.418,1.845,21.032600402832,107.83975982666
2021,6,Luxembourg,7.404,7.501,7.307,2.209,1.155,0.79,0.7,0.12,0.388,2.042,20.7341499328613,106.482757568359
2020,9,Luxembourg,7.324,7.396,7.252,1.751,1.003,0.76,0.639,0.166,0.353,2.653,19.961389541626,107.078948974609
2019,10,Luxembourg,7.23750019073486,7.29796981811523,7.17703056335449,1.53667604923248,1.38752841949463,0.986442685127258,0.610137045383453,0.195953920483589,0.3670414686203,2.15370035171509,19.3969497680664,106.946510314941
2023,123,Madagascar,4.228,4.359,4.097,0.628,0.823,0.333,0.25,0.172,0.123,1.897,6.4074501991272,..
2022,127,Madagascar,4.019,4.199,3.839,0.632,0.779,0.178,0.187,0.177,0.134,1.932,6.15096998214722,..
2021,128,Madagascar,4.339,4.53,4.148,0.67,0.645,0.378,0.202,0.143,0.154,2.148,..,35.1450665804339
2020,136,Madagascar,4.208,4.349,4.068,0.266,0.503,0.341,0.207,0.185,0.087,2.62,5.67685985565186,..
2019,137,Madagascar,4.16559982299805,4.27838230133057,4.05281734466553,0.244553208351135,0.823694348335266,0.500617027282715,0.192967548966408,0.1911900639534,0.0762486383318901,2.13629841804504,5.53402996063232,33.9341493314188
